"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J63,J61,J62,J64";"PinSocket_1x02_P2.54mm_Vertical";4;"Conn_01x02";;;
2;"Y1";"Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering";1;"32768Hz";;;
3;"T1";"SMT Power Transformer";1;"da2303";;;
4;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADR4525";;;
5;"D2,D1";"SOD−123";2;"D_Schottky";;;
6;"U13";"473521001";1;"473521001";;;
7;"J58,J57";"PinSocket_2x03_P2.54mm_Vertical";2;"Conn_02x03_Odd_Even";;;
8;"J51,J37";"USB_Micro-B_Molex-105017-0001";2;"USB_B_Micro";;;
9;"C104,C86,C85,C109,C110,C88,C87,C100";"C_0603_1608Metric";8;"2.2u";;;
10;"U1,U2,U3,U4";"QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm";4;"AD7779";;;
11;"U17";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ADuM3160";;;
12;"U9";"LQFP-144_20x20mm_P0.5mm";1;"STM32F765ZITx";;;
13;"U18";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ADUM1402BRWZ";;;
14;"REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";6;"MountingHole_3.2mm_M3";;;
15;"U19";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ISO7341c";;;
16;"C33,C31,C42,C29,C23,C25,C73,C67,C71,C65,C84,C75,C52,C44,C46,C63,C50,C54,C10,C12,C6,C18,C128,C48,C60,C58,C39,C27,C69,C81,C79,C16,C37,C2,C4,C8,C21,C127,C129,C130";"C_0402_1005Metric";40;"1u";;;
17;"C14,C13,C34,C35,C76,C77,C91,C89,C40,C32,C28,C22,C30,C24,C41,C83,C82,C74,C70,C72,C66,C64,C56,C62,C55,C49,C51,C45,C61,C43,C53,C5,C17,C96,C47,C59,C57,C38,C26,C80,C68,C1,C3,C7,C20,C19,C11,C9,C93,C97,C98,C99,C102,C103,C105,C106,C107,C95,C94,C108,C101,C114,C112,C111,C131,C132,C133,C134,C135,C136,C137,C138,C78,C15,C36,C139";"C_0402_1005Metric";76;"100n";;;
18;"Y2";"Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
19;"U8";"Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering";1;"FXO-SM7_OSC-SMD7050_short";;;
20;"U5,U10,U6";"SOT-23-5";3;"LP5907";;;
21;"C92,C113,C115";"C_0603_1608Metric";3;"10u";;;
22;"C90";"C_0805_2012Metric";1;"22u";;;
23;"U12";"SOT-23-6_Handsoldering";1;"SN6505A";;;
24;"C122";"C_0603_1608Metric";1;"4.7u";;;
25;"U11";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"LSM6DS3";;;
26;"C123,C125";"C_0402_1005Metric";2;"CL1";;;
27;"C124,C126";"C_0402_1005Metric";2;"CL2";;;
28;"R10";"R_0402_1005Metric";1;"R_EXT";;;
29;"R99,R100,R101,R102";"R_0402_1005Metric";4;"20";;;
30;"J53,J54,J55,J56";"PinHeader_2x10_P2.54mm_Horizontal";4;"Conn_02x10_Odd_Even";;;
31;"J59,J60";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
32;"R108,R109";"R_0402_1005Metric";2;"4k7";;;
33;"SW1,SW2";"SW_SPST_B3U-1000P-B";2;"SW_Push";;;
