	Valence	(SD)		Arousal	(SD)		Internal norms	(SD)		External norms	(SD)
H001.jpg	58.107	(30.92)		41.844	(27.94)		77.087	(38.51)		76.634	(36.68)
H002.jpg	34.785	(31.38)		57.825	(21.01)		47.479	(36.54)		53.925	(31.95)
H003.jpg	22.991	(19.64)		64.583	(22.88)		16.306	(18.93)		23.851	(32.55)
H005.jpg	2.377	(4.75)		72.751	(17.34)		0.806	(2.67)		9.862	(24.29)
H006.jpg	31.806	(31.77)		56.414	(26.12)		40	(33.59)		46.424	(35.19)
H007.jpg	21.725	(17.05)		56.526	(25.77)		21.857	(22.27)		26.027	(26.47)
H008.jpg	26.711	(21.02)		61.011	(24.35)		23.714	(26.73)		35.093	(33.25)
H009.jpg	44.285	(22.56)		36.471	(21.10)		42.315	(25.52)		59.086	(28.20)
H010.jpg	59.914	(32.25)		34.641	(25.78)		65.053	(30.84)		76.115	(32.26)
H011.jpg	15.989	(17.61)		68.184	(24.73)		17.43	(23.91)		20.628	(37.15)
H012.jpg	48.866	(26.73)		38.756	(23.91)		65.806	(37.66)		66.57	(37.36)
H013.jpg	56.52	(21.97)		51.334	(30.48)		71.656	(29.67)		72.506	(27.44)
H014.jpg	34.357	(20.42)		47.883	(30.48)		33.493	(31.67)		41.759	(30.84)
H015.jpg	30.109	(13.80)		53.259	(17.35)		27.425	(27.60)		30.093	(33.74)
H016.jpg	22.958	(20.56)		52.519	(34.28)		27.362	(35.38)		30.781	(38.82)
H017.jpg	50.638	(17.58)		44.972	(23.30)		40.849	(20.40)		44.03	(26.60)
H018.jpg	49.917	(35.63)		41.645	(26.56)		40.093	(42.05)		52.585	(43.67)
H019.jpg	22.394	(18.44)		70.389	(21.50)		30.398	(26.27)		33.153	(29.57)
H020.jpg	47.134	(12.95)		42.726	(29.15)		55.49	(29.00)		60.428	(32.72)
H021.jpg	47.525	(20.99)		40.634	(26.01)		56.797	(29.74)		58.379	(31.07)
H022.jpg	0.72	(1.93)		92.402	(11.14)		0.605	(1.65)		1.019	(2.17)
H023.jpg	57.716	(25.29)		39.284	(22.96)		53.747	(32.77)		59.124	(34.86)
H024.jpg	39.573	(21.81)		37.783	(33.76)		37.924	(33.67)		39.199	(34.79)
H025.jpg	45.757	(24.56)		48.196	(28.69)		49.105	(34.12)		52.019	(37.02)
H026.jpg	12.776	(13.93)		73.275	(20.11)		25.283	(27.35)		22.74	(28.61)
H027.jpg	41.626	(28.13)		51.198	(30.10)		39.038	(28.73)		44.774	(35.53)
H028.jpg	37.557	(32.12)		46.953	(28.13)		21.29	(30.29)		27.465	(37.01)
H029.jpg	32.12	(23.08)		44.138	(29.70)		44.833	(33.81)		39.559	(30.06)
H030.jpg	11.803	(12.54)		75.193	(19.88)		17.775	(24.61)		23.364	(31.97)
H031.jpg	27.657	(17.36)		46.589	(26.77)		27.213	(31.47)		30.719	(32.15)
H032.jpg	1.929	(4.12)		77.861	(18.90)		3.615	(7.10)		6.501	(11.70)
H033.jpg	57.417	(23.77)		50.473	(32.96)		58.107	(32.46)		59.138	(33.13)
H034.jpg	6.758	(8.40)		78.315	(20.13)		31.25	(34.82)		60.02	(38.63)
H035.jpg	19.757	(19.46)		66.382	(23.51)		15.251	(20.16)		21.882	(26.98)
H036.jpg	9.221	(28.62)		83.398	(14.43)		0.578	(1.21)		9.647	(29.99)
H037.jpg	8.019	(8.24)		82.656	(12.89)		7.61	(13.68)		8.661	(14.69)
H038.jpg	1.789	(4.42)		71.26	(19.27)		2.58	(4.66)		14.628	(29.84)
H039.jpg	39.06	(22.33)		59.507	(23.13)		36.355	(28.56)		36.12	(32.36)
H040.jpg	47.298	(27.06)		55.561	(22.28)		25.479	(27.07)		28.492	(24.08)
H041.jpg	13.962	(16.55)		72.308	(13.34)		18.128	(20.96)		37.232	(30.33)
H042.jpg	53.671	(24.64)		51.888	(28.00)		65.68	(35.61)		67.295	(38.48)
H043.jpg	39.625	(32.15)		54.972	(27.60)		38.02	(35.16)		33.867	(37.51)
H044.jpg	18.5	(15.22)		63.722	(17.04)		30.964	(26.42)		39.628	(23.41)
H045.jpg	46.435	(20.39)		40.22	(28.54)		53.998	(30.78)		56.119	(24.70)
H047.jpg	44.436	(24.63)		38.656	(24.73)		49.192	(27.01)		52.715	(23.85)
H048.jpg	15.751	(14.57)		68.614	(15.78)		20.17	(25.60)		23.106	(30.09)
H049.jpg	31.626	(19.68)		52.99	(27.74)		41.594	(39.87)		34.222	(38.79)
H050.jpg	44.816	(22.63)		38.341	(19.75)		38.395	(19.51)		52.991	(28.62)
H051.jpg	26.97	(25.07)		53.416	(25.38)		20.038	(18.82)		42.393	(34.34)
H052.jpg	47.577	(18.98)		36.817	(21.88)		48.905	(29.02)		51.04	(31.55)
H053.jpg	29.308	(28.95)		62.445	(16.59)		25.377	(30.88)		31.577	(30.73)
H054.jpg	43.978	(19.44)		40.317	(29.00)		52.455	(36.01)		55.05	(37.07)
H055.jpg	34.008	(21.14)		60.451	(26.04)		30.907	(29.97)		34.54	(34.90)
H056.jpg	2.615	(4.27)		68.525	(26.21)		6.745	(13.32)		14.604	(30.05)
H057.jpg	59.742	(34.71)		49.628	(31.30)		48.344	(33.68)		49.462	(33.15)
H058.jpg	40.24	(30.51)		50.719	(26.26)		24.824	(26.22)		39.38	(43.10)
H059.jpg	29.62	(18.57)		36.969	(20.62)		24.787	(17.23)		40.894	(27.17)
H060.jpg	53.846	(24.40)		38.963	(30.20)		62.754	(37.63)		64.224	(36.47)
H061.jpg	37.294	(18.94)		58.173	(28.59)		34.496	(29.30)		35.309	(32.69)
H062.jpg	14.063	(18.76)		66.984	(23.90)		17.615	(23.75)		23.876	(30.09)
H063.jpg	5.666	(10.14)		81.855	(24.53)		15.22	(31.44)		13.237	(30.12)
H064.jpg	8.839	(14.81)		80.739	(16.77)		17.822	(29.41)		20.592	(34.07)
H065.jpg	16.598	(27.09)		68.414	(25.21)		19.061	(38.05)		18.963	(37.68)
H066.jpg	4.016	(6.56)		80.577	(14.19)		6.29	(11.18)		8.76	(13.19)
H074.jpg	2.022	(4.22)		87.282	(11.40)		0.954	(2.30)		10.867	(23.80)
H076.jpg	21.249	(15.27)		64.605	(22.15)		33.183	(29.19)		34.335	(33.48)
H077.jpg	0.779	(2.45)		91.29	(9.12)		9.059	(28.67)		11.63	(29.78)
H078.jpg	7.931	(14.07)		74.38	(22.87)		12.979	(24.57)		21.024	(30.67)
H079.jpg	3.442	(6.25)		71.13	(32.89)		5.349	(10.64)		7.975	(16.22)
H080.jpg	18.9	(14.95)		70.282	(17.02)		26.557	(28.21)		25.307	(24.31)
H081.jpg	10.475	(17.13)		77.612	(17.86)		16.424	(34.84)		17.355	(35.51)
H082.jpg	17.722	(28.81)		65.068	(29.55)		25.4	(31.51)		28.099	(39.45)
H083.jpg	24.468	(23.60)		68.306	(24.12)		28.667	(34.21)		22.194	(31.38)
H084.jpg	18.429	(30.30)		82.425	(17.11)		12.728	(29.66)		10.548	(29.88)
H085.jpg	49.555	(29.29)		41.463	(20.63)		27.824	(31.62)		47.524	(39.43)
H086.jpg	48.24	(30.98)		38.878	(27.53)		40.881	(36.84)		43.221	(35.57)
H087.jpg	10.788	(10.65)		75.598	(24.43)		19.616	(20.51)		25.394	(30.31)
H088.jpg	15.04	(16.09)		65.625	(19.78)		16.518	(17.88)		21.57	(29.66)
H089.jpg	50.608	(29.42)		46.491	(24.25)		33.674	(32.69)		38.736	(37.72)
H090.jpg	61.405	(32.03)		38.94	(24.56)		54.109	(30.27)		56.626	(32.11)
H091.jpg	16.351	(15.48)		50.135	(22.66)		22.257	(20.80)		32.516	(41.02)
H092.jpg	15.491	(26.37)		65.453	(30.47)		20.93	(16.96)		34.172	(24.54)
H093.jpg	17.284	(30.03)		68.604	(27.95)		6.457	(9.33)		14.547	(28.85)
H094.jpg	51.261	(32.73)		47.006	(24.14)		54.695	(37.60)		68.38	(36.47)
H095.jpg	15.468	(11.43)		42.883	(25.36)		30.344	(16.25)		40.319	(23.86)
