	Valence	Arousal
N001.jpg	57.245	17.909
N002.jpg	55.043	41.503
N003.jpg	54.109	30.974
N004.jpg	40.953	40.422
N006.jpg	53.835	37.388
N008.jpg	59.745	22.977
N009.jpg	62.174	15.005
N010.jpg	60.196	12.907
N011.jpg	49.069	29.336
N013.jpg	61.967	10.196
N014.jpg	59.275	14.340
N015.jpg	54.050	29.756
N016.jpg	60.280	26.152
N017.jpg	68.630	14.291
N018.jpg	59.426	20.317
N019.jpg	61.120	27.267
N020.jpg	51.299	26.213
N021.jpg	57.788	29.029
N022.jpg	57.851	22.960
N023.jpg	68.850	29.736
N024.jpg	56.168	16.541
N025.jpg	51.873	23.840
N026.jpg	43.063	20.506
N027.jpg	60.927	26.823
N028.jpg	67.042	20.103
N030.jpg	59.194	24.200
N031.jpg	51.964	20.868
N032.jpg	54.083	21.452
N033.jpg	48.306	26.599
N034.jpg	55.883	16.563
N035.jpg	54.510	18.360
N036.jpg	52.852	18.706
N037.jpg	53.380	19.829
N038.jpg	61.954	31.339
N039.jpg	49.431	17.885
N040.jpg	54.189	29.566
N041.jpg	54.996	24.654
N042.jpg	67.751	21.501
N043.jpg	64.050	33.424
N044.jpg	61.870	31.986
N045.jpg	53.572	14.802
N046.jpg	47.496	26.050
N047.jpg	53.307	27.769
N061.jpg	49.541	10.674
N062.jpg	55.356	29.713
N064.jpg	45.527	25.069
N065.jpg	65.689	20.149
N066.jpg	63.756	43.122
N067.jpg	45.176	23.793
N068.jpg	58.674	16.423
N069.jpg	65.852	32.872
N070.jpg	56.315	19.523
N071.jpg	55.113	43.792
N072.jpg	51.181	17.690
N073.jpg	47.181	29.760
N075.jpg	44.451	41.667
N076.jpg	57.156	18.505
N077.jpg	67.722	29.926
N078.jpg	53.441	27.879
N079.jpg	53.551	18.336
N080.jpg	59.670	20.826
N081.jpg	50.247	23.782
N082.jpg	62.644	37.583
N083.jpg	53.876	29.436
N085.jpg	53.586	26.136
N086.jpg	62.290	36.256
N087.jpg	48.873	30.279
N088.jpg	58.806	23.673
N089.jpg	50.168	13.260
N090.jpg	62.827	25.464
N091.jpg	53.994	12.065
N092.jpg	49.675	21.311
N093.jpg	56.704	23.687
N094.jpg	51.367	23.246
N095.jpg	57.445	22.960
N096.jpg	55.886	35.069
N097.jpg	52.912	22.261
N098.jpg	53.957	22.885
N099.jpg	59.797	43.108
N100.jpg	61.645	30.254
N101.jpg	50.112	18.488
N102.jpg	46.393	26.089
N104.jpg	57.932	32.797
N105.jpg	61.819	25.901
N106.jpg	51.211	23.401
N107.jpg	52.177	31.665
N108.jpg	60.457	13.713
N109.jpg	50.609	21.657
N111.jpg	50.872	20.610
