	Valence	(SD)		Arousal	(SD)
N001.jpg	57.245	(19.55)		17.909	(20.17)
N002.jpg	55.043	(23.87)		41.503	(33.91)
N003.jpg	54.109	(17.47)		30.974	(32.00)
N004.jpg	40.953	(14.24)		40.422	(28.68)
N006.jpg	53.835	(14.41)		37.388	(31.86)
N008.jpg	59.745	(14.51)		22.977	(23.53)
N009.jpg	62.174	(18.64)		15.005	(20.10)
N010.jpg	60.196	(19.81)		12.907	(18.59)
N011.jpg	49.069	(9.36)		29.336	(28.34)
N013.jpg	61.967	(21.19)		10.196	(14.37)
N014.jpg	59.275	(14.55)		14.34	(16.48)
N015.jpg	54.05	(18.46)		29.756	(20.96)
N016.jpg	60.28	(15.63)		26.152	(26.56)
N017.jpg	68.63	(20.81)		14.291	(18.31)
N018.jpg	59.426	(19.64)		20.317	(25.14)
N019.jpg	61.12	(19.09)		27.267	(20.62)
N020.jpg	51.299	(3.30)		26.213	(24.66)
N021.jpg	57.788	(18.91)		29.029	(26.93)
N022.jpg	57.851	(16.64)		22.96	(27.22)
N023.jpg	68.85	(17.58)		29.736	(21.91)
N024.jpg	56.168	(17.95)		16.541	(20.66)
N025.jpg	51.873	(15.21)		23.84	(24.28)
N026.jpg	43.063	(13.73)		20.506	(22.21)
N027.jpg	60.927	(19.42)		26.823	(24.12)
N028.jpg	67.042	(20.48)		20.103	(23.50)
N030.jpg	59.194	(17.93)		24.2	(19.14)
N031.jpg	51.964	(27.79)		20.868	(21.77)
N032.jpg	54.083	(11.77)		21.452	(25.86)
N033.jpg	48.306	(12.78)		26.599	(27.16)
N034.jpg	55.883	(12.83)		16.563	(22.10)
N035.jpg	54.51	(17.91)		18.36	(20.28)
N036.jpg	52.852	(11.81)		18.706	(20.45)
N037.jpg	53.38	(15.02)		19.829	(22.30)
N038.jpg	61.954	(28.27)		31.339	(24.99)
N039.jpg	49.431	(9.23)		17.885	(26.32)
N040.jpg	54.189	(15.58)		29.566	(23.96)
N041.jpg	54.996	(24.31)		24.654	(27.70)
N042.jpg	67.751	(23.08)		21.501	(23.40)
N043.jpg	64.05	(20.33)		33.424	(34.56)
N044.jpg	61.87	(18.68)		31.986	(27.03)
N045.jpg	53.572	(14.83)		14.802	(21.42)
N046.jpg	47.496	(11.32)		26.05	(26.32)
N047.jpg	53.307	(11.54)		27.769	(23.72)
N061.jpg	49.541	(5.84)		10.674	(20.33)
N062.jpg	55.356	(22.17)		29.713	(19.30)
N064.jpg	45.527	(10.35)		25.069	(25.47)
N065.jpg	65.689	(24.14)		20.149	(23.98)
N066.jpg	63.756	(23.83)		43.122	(30.54)
N067.jpg	45.176	(14.47)		23.793	(23.90)
N068.jpg	58.674	(15.05)		16.423	(16.58)
N069.jpg	65.852	(17.61)		32.872	(27.41)
N070.jpg	56.315	(14.24)		19.523	(24.99)
N071.jpg	55.113	(26.36)		43.792	(36.26)
N072.jpg	51.181	(11.87)		17.69	(15.04)
N073.jpg	47.181	(24.83)		29.76	(29.75)
N075.jpg	44.451	(10.25)		41.667	(25.66)
N076.jpg	57.156	(16.41)		18.505	(26.41)
N077.jpg	67.722	(18.10)		29.926	(29.90)
N078.jpg	53.441	(15.58)		27.879	(22.30)
N079.jpg	53.551	(19.16)		18.336	(20.84)
N080.jpg	59.67	(17.99)		20.826	(26.34)
N081.jpg	50.247	(4.23)		23.782	(21.43)
N082.jpg	62.644	(28.87)		37.583	(28.35)
N083.jpg	53.876	(13.06)		29.436	(23.81)
N085.jpg	53.586	(16.98)		26.136	(23.11)
N086.jpg	62.29	(19.10)		36.256	(29.65)
N087.jpg	48.873	(20.59)		30.279	(21.14)
N088.jpg	58.806	(17.21)		23.673	(27.45)
N089.jpg	50.168	(9.55)		13.26	(20.26)
N090.jpg	62.827	(22.26)		25.464	(25.15)
N091.jpg	53.994	(14.62)		12.065	(20.55)
N092.jpg	49.675	(4.15)		21.311	(30.69)
N093.jpg	56.704	(15.41)		23.687	(25.24)
N094.jpg	51.367	(23.57)		23.246	(26.29)
N095.jpg	57.445	(23.82)		22.96	(29.57)
N096.jpg	55.886	(24.51)		35.069	(28.39)
N097.jpg	52.912	(13.31)		22.261	(21.65)
N098.jpg	53.957	(23.19)		22.885	(21.92)
N099.jpg	59.797	(21.06)		43.108	(26.09)
N100.jpg	61.645	(23.46)		30.254	(30.38)
N101.jpg	50.112	(8.73)		18.488	(20.19)
N102.jpg	46.393	(9.98)		26.089	(23.27)
N104.jpg	57.932	(28.16)		32.797	(35.05)
N105.jpg	61.819	(21.76)		25.901	(27.10)
N106.jpg	51.211	(11.37)		23.401	(25.15)
N107.jpg	52.177	(28.19)		31.665	(30.99)
N108.jpg	60.457	(18.23)		13.713	(22.25)
N109.jpg	50.609	(14.93)		21.657	(23.05)
N111.jpg	50.872	(15.92)		20.61	(23.80)
