	Valence	Arousal
P001.jpg	77.820	13.285
P003.jpg	82.814	36.592
P004.jpg	90.464	19.615
P005.jpg	81.301	27.560
P006.jpg	82.390	15.088
P007.jpg	98.292	11.452
P008.jpg	92.302	15.109
P009.jpg	93.531	13.170
P010.jpg	90.259	25.653
P011.jpg	92.896	32.971
P012.jpg	88.264	27.812
P013.jpg	95.724	14.705
P014.jpg	95.341	20.780
P015.jpg	79.398	20.647
P016.jpg	75.599	12.385
P017.jpg	88.431	29.739
P018.jpg	87.821	23.290
P020.jpg	92.263	12.027
P021.jpg	83.162	9.670
P022.jpg	90.833	24.441
P023.jpg	88.224	23.227
P024.jpg	90.101	21.514
P025.jpg	92.759	18.212
P026.jpg	96.371	11.431
P027.jpg	72.182	36.005
P028.jpg	93.050	16.782
P029.jpg	83.309	28.096
P030.jpg	96.817	13.830
P031.jpg	93.076	24.758
P033.jpg	96.202	15.369
P034.jpg	76.384	31.092
P035.jpg	97.231	21.848
P036.jpg	94.105	6.599
P037.jpg	92.144	27.530
P038.jpg	92.920	8.622
P039.jpg	95.628	16.867
P040.jpg	87.686	25.378
P041.jpg	94.457	12.363
P042.jpg	91.120	20.862
P043.jpg	95.163	29.304
P044.jpg	89.508	15.410
P045.jpg	97.787	21.098
P046.jpg	95.266	12.081
P047.jpg	83.050	13.260
P048.jpg	90.806	9.240
P049.jpg	85.885	20.865
P050.jpg	91.266	57.636
P052.jpg	86.639	19.433
P053.jpg	95.410	34.691
P054.jpg	91.816	18.840
P055.jpg	93.319	20.018
P056.jpg	90.013	13.548
P057.jpg	91.557	14.456
P058.jpg	89.220	25.122
P060.jpg	93.297	15.853
P061.jpg	90.642	20.871
P062.jpg	90.844	18.273
P063.jpg	94.089	12.591
P064.jpg	93.784	12.966
P065.jpg	89.822	43.095
P066.jpg	93.019	9.359
P067.jpg	98.737	12.199
P069.jpg	88.824	14.139
P070.jpg	97.704	35.825
P071.jpg	96.074	14.652
P072.jpg	92.978	19.134
P073.jpg	87.326	26.768
P074.jpg	89.890	29.608
P075.jpg	73.210	28.963
P076.jpg	90.556	22.638
P077.jpg	93.077	26.780
P078.jpg	86.108	28.497
P079.jpg	95.167	8.460
P080.jpg	94.328	11.623
P081.jpg	85.388	26.408
P082.jpg	88.798	7.656
P083.jpg	78.075	35.561
P084.jpg	93.210	12.189
P085.jpg	95.860	19.147
P086.jpg	92.691	16.166
P087.jpg	93.039	29.178
P088.jpg	94.399	37.633
P089.jpg	86.700	11.621
P090.jpg	78.635	20.068
P091.jpg	95.505	17.848
P092.jpg	97.309	11.375
P093.jpg	90.874	12.318
P094.jpg	86.102	31.732
P095.jpg	94.377	16.134
P096.jpg	84.617	26.211
P097.jpg	71.860	59.580
P098.jpg	97.240	22.445
P099.jpg	87.273	18.235
P100.jpg	89.699	39.643
P101.jpg	97.818	5.851
P102.jpg	88.483	33.844
P103.jpg	78.867	30.226
P104.jpg	80.729	17.305
P105.jpg	81.696	66.009
P106.jpg	85.437	31.131
P107.jpg	85.218	26.677
P108.jpg	92.636	17.150
P109.jpg	93.142	29.460
P110.jpg	92.199	25.708
P111.jpg	91.707	23.089
P112.jpg	79.260	17.266
P113.jpg	81.045	28.991
P114.jpg	95.970	28.742
P116.jpg	84.071	7.777
P117.jpg	96.546	7.993
P118.jpg	91.465	13.829
P119.jpg	87.739	17.144
P121.jpg	93.440	13.507
P122.jpg	92.909	22.847
P123.jpg	94.833	10.438
P124.jpg	77.764	51.203
P125.jpg	77.739	18.287
P127.jpg	86.130	7.730
P128.jpg	91.980	15.990
P129.jpg	88.350	28.171
P130.jpg	98.209	22.527
