	Valence	(SD)		Arousal	(SD)
P001.jpg	77.82	(28.91)		13.285	(19.28)
P003.jpg	82.814	(24.57)		36.592	(34.58)
P004.jpg	90.464	(20.25)		19.615	(35.56)
P005.jpg	81.301	(15.65)		27.56	(25.61)
P006.jpg	82.39	(29.02)		15.088	(16.93)
P007.jpg	98.292	(4.08)		11.452	(21.65)
P008.jpg	92.302	(10.65)		15.109	(22.15)
P009.jpg	93.531	(12.66)		13.17	(17.20)
P010.jpg	90.259	(14.77)		25.653	(31.13)
P011.jpg	92.896	(5.80)		32.971	(29.17)
P012.jpg	88.264	(15.34)		27.812	(28.95)
P013.jpg	95.724	(9.50)		14.705	(16.17)
P014.jpg	95.341	(9.80)		20.78	(29.42)
P015.jpg	79.398	(28.52)		20.647	(29.77)
P016.jpg	75.599	(30.19)		12.385	(18.88)
P017.jpg	88.431	(20.88)		29.739	(36.17)
P018.jpg	87.821	(13.07)		23.29	(30.56)
P020.jpg	92.263	(9.85)		12.027	(19.64)
P021.jpg	83.162	(25.30)		9.67	(23.68)
P022.jpg	90.833	(18.00)		24.441	(23.24)
P023.jpg	88.224	(15.16)		23.227	(27.45)
P024.jpg	90.101	(17.15)		21.514	(23.90)
P025.jpg	92.759	(10.30)		18.212	(30.47)
P026.jpg	96.371	(6.76)		11.431	(14.67)
P027.jpg	72.182	(28.07)		36.005	(29.22)
P028.jpg	93.05	(13.37)		16.782	(15.12)
P029.jpg	83.309	(16.39)		28.096	(26.35)
P030.jpg	96.817	(5.07)		13.83	(24.04)
P031.jpg	93.076	(15.88)		24.758	(28.61)
P033.jpg	96.202	(7.48)		15.369	(24.91)
P034.jpg	76.384	(23.78)		31.092	(29.65)
P035.jpg	97.231	(6.47)		21.848	(31.27)
P036.jpg	94.105	(8.61)		6.599	(7.90)
P037.jpg	92.144	(15.81)		27.53	(28.39)
P038.jpg	92.92	(11.88)		8.622	(11.33)
P039.jpg	95.628	(8.02)		16.867	(20.08)
P040.jpg	87.686	(15.93)		25.378	(29.32)
P041.jpg	94.457	(11.82)		12.363	(18.37)
P042.jpg	91.12	(19.15)		20.862	(35.69)
P043.jpg	95.163	(7.54)		29.304	(37.61)
P044.jpg	89.508	(14.82)		15.41	(19.48)
P045.jpg	97.787	(6.28)		21.098	(24.94)
P046.jpg	95.266	(7.02)		12.081	(17.70)
P047.jpg	83.05	(15.30)		13.26	(20.80)
P048.jpg	90.806	(16.47)		9.24	(9.58)
P049.jpg	85.885	(19.26)		20.865	(27.57)
P050.jpg	91.266	(8.16)		57.636	(29.74)
P052.jpg	86.639	(15.11)		19.433	(30.14)
P053.jpg	95.41	(7.38)		34.691	(35.84)
P054.jpg	91.816	(12.63)		18.84	(24.07)
P055.jpg	93.319	(12.66)		20.018	(31.24)
P056.jpg	90.013	(15.39)		13.548	(15.81)
P057.jpg	91.557	(14.59)		14.456	(17.08)
P058.jpg	89.22	(16.21)		25.122	(33.57)
P060.jpg	93.297	(14.84)		15.853	(23.72)
P061.jpg	90.642	(14.55)		20.871	(19.54)
P062.jpg	90.844	(9.28)		18.273	(24.99)
P063.jpg	94.089	(8.83)		12.591	(16.47)
P064.jpg	93.784	(8.77)		12.966	(23.24)
P065.jpg	89.822	(20.16)		43.095	(39.01)
P066.jpg	93.019	(7.99)		9.359	(7.70)
P067.jpg	98.737	(2.27)		12.199	(28.65)
P069.jpg	88.824	(17.37)		14.139	(26.79)
P070.jpg	97.704	(4.22)		35.825	(38.89)
P071.jpg	96.074	(12.63)		14.652	(20.62)
P072.jpg	92.978	(12.04)		19.134	(20.62)
P073.jpg	87.326	(16.84)		26.768	(31.99)
P074.jpg	89.89	(16.32)		29.608	(29.68)
P075.jpg	73.21	(24.21)		28.963	(30.34)
P076.jpg	90.556	(14.65)		22.638	(23.28)
P077.jpg	93.077	(8.98)		26.78	(34.85)
P078.jpg	86.108	(14.57)		28.497	(29.43)
P079.jpg	95.167	(7.01)		8.46	(10.59)
P080.jpg	94.328	(4.55)		11.623	(14.26)
P081.jpg	85.388	(17.37)		26.408	(28.56)
P082.jpg	88.798	(25.51)		7.656	(8.47)
P083.jpg	78.075	(25.02)		35.561	(26.67)
P084.jpg	93.21	(10.42)		12.189	(21.94)
P085.jpg	95.86	(6.57)		19.147	(29.34)
P086.jpg	92.691	(13.70)		16.166	(23.15)
P087.jpg	93.039	(16.23)		29.178	(36.94)
P088.jpg	94.399	(10.70)		37.633	(38.74)
P089.jpg	86.7	(15.07)		11.621	(16.05)
P090.jpg	78.635	(23.63)		20.068	(24.75)
P091.jpg	95.505	(6.26)		17.848	(26.75)
P092.jpg	97.309	(7.04)		11.375	(16.29)
P093.jpg	90.874	(15.17)		12.318	(12.23)
P094.jpg	86.102	(24.54)		31.732	(36.33)
P095.jpg	94.377	(8.92)		16.134	(19.67)
P096.jpg	84.617	(20.23)		26.211	(32.43)
P097.jpg	71.86	(26.49)		59.58	(27.81)
P098.jpg	97.24	(4.41)		22.445	(23.43)
P099.jpg	87.273	(17.02)		18.235	(19.43)
P100.jpg	89.699	(8.12)		39.643	(27.57)
P101.jpg	97.818	(7.00)		5.851	(10.99)
P102.jpg	88.483	(19.30)		33.844	(25.30)
P103.jpg	78.867	(19.67)		30.226	(32.95)
P104.jpg	80.729	(20.13)		17.305	(18.70)
P105.jpg	81.696	(24.80)		66.009	(26.66)
P106.jpg	85.437	(33.74)		31.131	(37.02)
P107.jpg	85.218	(15.50)		26.677	(27.41)
P108.jpg	92.636	(12.99)		17.15	(29.62)
P109.jpg	93.142	(8.32)		29.46	(35.92)
P110.jpg	92.199	(11.86)		25.708	(25.98)
P111.jpg	91.707	(16.87)		23.089	(22.79)
P112.jpg	79.26	(19.38)		17.266	(18.76)
P113.jpg	81.045	(14.65)		28.991	(26.80)
P114.jpg	95.97	(13.06)		28.742	(35.27)
P116.jpg	84.071	(16.71)		7.777	(11.64)
P117.jpg	96.546	(7.68)		7.993	(14.67)
P118.jpg	91.465	(13.07)		13.829	(21.02)
P119.jpg	87.739	(16.01)		17.144	(20.44)
P121.jpg	93.44	(11.32)		13.507	(21.28)
P122.jpg	92.909	(9.52)		22.847	(20.10)
