	Valence	Arousal
Sn001.jpg	53.185	64.982
Sn002.jpg	37.915	72.946
Sn003.jpg	32.215	48.062
Sn004.jpg	35.436	55.342
Sn005.jpg	48.324	58.033
Sn006.jpg	41.538	60.971
Sn007.jpg	53.240	47.578
Sn008.jpg	49.313	42.315
Sn009.jpg	50.303	55.223
Sn010.jpg	63.660	45.324
Sn011.jpg	21.530	59.229
Sn012.jpg	26.584	70.282
Sn013.jpg	36.332	67.743
Sn014.jpg	46.480	53.446
Sn015.jpg	54.859	38.925
Sn016.jpg	17.437	67.823
Sn017.jpg	35.222	61.842
Sn018.jpg	47.901	56.475
Sn019.jpg	27.501	69.088
Sn020.jpg	46.733	43.142
Sn021.jpg	50.366	41.400
Sn022.jpg	44.192	50.862
Sn023.jpg	37.837	50.642
Sn024.jpg	46.437	59.641
Sn025.jpg	20.894	63.095
Sn026.jpg	31.244	61.572
Sn027.jpg	32.514	59.653
Sn028.jpg	40.115	55.803
Sn029.jpg	29.537	61.545
Sn030.jpg	42.564	50.091
Sn031.jpg	50.666	30.559
Sn032.jpg	40.985	59.344
Sn033.jpg	39.690	46.968
Sn034.jpg	28.585	66.197
Sn035.jpg	46.447	60.074
Sn036.jpg	56.831	38.681
Sn037.jpg	52.769	41.861
Sn038.jpg	56.767	44.344
Sn039.jpg	56.256	37.416
Sn040.jpg	52.419	37.989
Sn041.jpg	50.956	33.960
Sn042.jpg	39.296	57.314
Sn043.jpg	55.914	45.233
Sn044.jpg	28.207	65.365
Sn045.jpg	52.801	51.051
Sn046.jpg	34.840	52.143
Sn047.jpg	40.231	67.143
Sn048.jpg	16.656	66.199
Sn049.jpg	18.035	69.814
Sn050.jpg	30.924	50.638
Sn051.jpg	50.453	36.477
Sn052.jpg	37.561	59.057
Sn053.jpg	48.984	43.858
Sn054.jpg	42.819	64.988
Sn055.jpg	35.760	53.684
Sn056.jpg	59.761	40.450
Sn057.jpg	49.391	47.784
Sn058.jpg	22.912	67.154
Sn059.jpg	33.652	54.790
Sn060.jpg	40.027	64.136
Sn061.jpg	56.119	33.961
Sn062.jpg	45.171	53.982
Sn063.jpg	38.982	65.590
Sn064.jpg	34.369	62.043
Sn065.jpg	54.410	47.113
Sn066.jpg	50.886	40.440
Sn067.jpg	50.694	50.817
Sn068.jpg	45.437	67.818
Sn069.jpg	44.191	52.192
Sn070.jpg	41.187	51.443
Sn071.jpg	38.191	60.654
Sn072.jpg	31.649	65.477
Sn073.jpg	53.566	43.016
Sn074.jpg	62.025	34.129
Sn075.jpg	39.554	64.038
Sn076.jpg	40.257	48.341
Sn077.jpg	30.573	59.661
Sn078.jpg	41.842	61.258
Sn079.jpg	32.049	53.750
Sn080.jpg	52.924	39.865
Sn081.jpg	19.752	68.070
Sn082.jpg	48.038	43.511
Sn083.jpg	49.669	38.205
Sn084.jpg	43.324	49.545
Sn085.jpg	25.299	58.217
Sn086.jpg	57.486	35.857
Sn087.jpg	37.985	62.147
Sn088.jpg	39.726	50.455
Sn089.jpg	52.395	43.782
Sn090.jpg	53.098	37.799
Sn091.jpg	28.872	54.866
Sn092.jpg	50.906	50.309
Sn093.jpg	37.906	51.836
Sn094.jpg	22.403	66.265
Sn095.jpg	54.609	44.535
Sn096.jpg	40.574	58.152
Sn097.jpg	33.451	57.956
Sn098.jpg	25.058	69.307
Sn099.jpg	59.748	44.871
Sn100.jpg	27.327	66.700
Sn101.jpg	40.950	66.024
Sn102.jpg	41.817	72.416
Sn103.jpg	49.250	63.656
Sn104.jpg	40.088	57.280
Sn105.jpg	54.203	42.337
Sn106.jpg	49.722	30.598
Sn107.jpg	51.338	49.472
Sn108.jpg	37.789	48.654
Sn109.jpg	34.974	59.847
Sn110.jpg	37.180	50.870
Sn111.jpg	50.936	48.873
Sn112.jpg	18.581	66.400
Sn113.jpg	45.101	44.814
Sn114.jpg	40.716	62.464
Sn115.jpg	50.785	36.682
Sn116.jpg	38.488	54.089
Sn117.jpg	41.966	49.034
Sn118.jpg	37.083	59.622
Sn119.jpg	53.696	36.189
Sn120.jpg	51.591	30.581
Sn121.jpg	53.451	38.065
Sn122.jpg	41.341	57.473
Sn123.jpg	57.505	44.553
Sn124.jpg	17.827	64.563
Sn125.jpg	17.954	68.729
Sn126.jpg	46.090	50.222
Sn127.jpg	36.231	65.062
Sn128.jpg	42.731	49.796
Sn129.jpg	29.542	57.930
Sn130.jpg	35.980	64.906
Sn131.jpg	17.248	70.413
Sn132.jpg	53.539	57.840
Sn133.jpg	42.237	57.483
