	Valence	(SD)		Arousal	(SD)
Sn001.jpg	53.185	(39.04)		64.982	(26.25)
Sn002.jpg	37.915	(40.17)		72.946	(22.61)
Sn003.jpg	32.215	(26.62)		48.062	(33.80)
Sn004.jpg	35.436	(25.83)		55.342	(35.70)
Sn005.jpg	48.324	(27.85)		58.033	(24.34)
Sn006.jpg	41.538	(29.21)		60.971	(31.83)
Sn007.jpg	53.24	(27.43)		47.578	(25.00)
Sn008.jpg	49.313	(26.24)		42.315	(26.85)
Sn009.jpg	50.303	(25.28)		55.223	(25.50)
Sn010.jpg	63.66	(18.85)		45.324	(21.83)
Sn011.jpg	21.53	(17.85)		59.229	(23.53)
Sn012.jpg	26.584	(25.08)		70.282	(25.13)
Sn013.jpg	36.332	(33.24)		67.743	(16.88)
Sn014.jpg	46.48	(36.56)		53.446	(32.43)
Sn015.jpg	54.859	(25.97)		38.925	(20.52)
Sn016.jpg	17.437	(15.85)		67.823	(26.69)
Sn017.jpg	35.222	(26.79)		61.842	(23.73)
Sn018.jpg	47.901	(30.46)		56.475	(16.39)
Sn019.jpg	27.501	(29.96)		69.088	(28.50)
Sn020.jpg	46.733	(28.05)		43.142	(26.74)
Sn021.jpg	50.366	(25.80)		41.4	(27.56)
Sn022.jpg	44.192	(33.93)		50.862	(35.20)
Sn023.jpg	37.837	(28.62)		50.642	(34.52)
Sn024.jpg	46.437	(30.07)		59.641	(29.85)
Sn025.jpg	20.894	(15.98)		63.095	(24.70)
Sn026.jpg	31.244	(28.91)		61.572	(23.28)
Sn027.jpg	32.514	(31.40)		59.653	(34.68)
Sn028.jpg	40.115	(34.25)		55.803	(34.22)
Sn029.jpg	29.537	(32.47)		61.545	(32.13)
Sn030.jpg	42.564	(30.38)		50.091	(33.81)
Sn031.jpg	50.666	(26.83)		30.559	(26.04)
Sn032.jpg	40.985	(34.59)		59.344	(30.04)
Sn033.jpg	39.69	(33.99)		46.968	(37.06)
Sn034.jpg	28.585	(25.56)		66.197	(27.66)
Sn035.jpg	46.447	(30.14)		60.074	(27.10)
Sn036.jpg	56.831	(25.42)		38.681	(23.27)
Sn037.jpg	52.769	(25.56)		41.861	(22.47)
Sn038.jpg	56.767	(22.15)		44.344	(20.03)
Sn039.jpg	56.256	(24.65)		37.416	(18.54)
Sn040.jpg	52.419	(24.60)		37.989	(26.62)
Sn041.jpg	50.956	(26.98)		33.96	(23.50)
Sn042.jpg	39.296	(32.26)		57.314	(31.09)
Sn043.jpg	55.914	(29.45)		45.233	(25.30)
Sn044.jpg	28.207	(26.69)		65.365	(25.61)
Sn045.jpg	52.801	(29.19)		51.051	(19.23)
Sn046.jpg	34.84	(23.93)		52.143	(28.21)
Sn047.jpg	40.231	(25.58)		67.143	(24.35)
Sn048.jpg	16.656	(16.02)		66.199	(29.00)
Sn049.jpg	18.035	(16.12)		69.814	(25.12)
Sn050.jpg	30.924	(28.61)		50.638	(33.96)
Sn051.jpg	50.453	(27.13)		36.477	(25.57)
Sn052.jpg	37.561	(37.08)		59.057	(30.77)
Sn053.jpg	48.984	(23.08)		43.858	(24.55)
Sn054.jpg	42.819	(35.53)		64.988	(23.76)
Sn055.jpg	35.76	(25.87)		53.684	(36.36)
Sn056.jpg	59.761	(25.51)		40.45	(24.50)
Sn057.jpg	49.391	(23.41)		47.784	(20.93)
Sn058.jpg	22.912	(23.33)		67.154	(27.13)
Sn059.jpg	33.652	(21.15)		54.79	(26.47)
Sn060.jpg	40.027	(33.11)		64.136	(30.57)
Sn061.jpg	56.119	(25.17)		33.961	(24.94)
Sn062.jpg	45.171	(36.38)		53.982	(27.40)
Sn063.jpg	38.982	(33.98)		65.59	(27.96)
Sn064.jpg	34.369	(33.21)		62.043	(25.79)
Sn065.jpg	54.41	(23.92)		47.113	(20.26)
Sn066.jpg	50.886	(29.39)		40.44	(28.62)
Sn067.jpg	50.694	(31.61)		50.817	(29.84)
Sn068.jpg	45.437	(40.99)		67.818	(32.39)
Sn069.jpg	44.191	(27.28)		52.192	(35.71)
Sn070.jpg	41.187	(30.75)		51.443	(29.23)
Sn071.jpg	38.191	(36.47)		60.654	(31.87)
Sn072.jpg	31.649	(31.34)		65.477	(36.62)
Sn073.jpg	53.566	(23.92)		43.016	(23.40)
Sn074.jpg	62.025	(26.28)		34.129	(25.36)
Sn075.jpg	39.554	(32.01)		64.038	(28.59)
Sn076.jpg	40.257	(25.08)		48.341	(24.67)
Sn077.jpg	30.573	(26.93)		59.661	(31.38)
Sn078.jpg	41.842	(29.89)		61.258	(26.27)
Sn079.jpg	32.049	(28.16)		53.75	(34.14)
Sn080.jpg	52.924	(23.35)		39.865	(26.85)
Sn081.jpg	19.752	(15.69)		68.07	(23.76)
Sn082.jpg	48.038	(25.83)		43.511	(32.21)
Sn083.jpg	49.669	(26.25)		38.205	(23.85)
Sn084.jpg	43.324	(30.58)		49.545	(28.17)
Sn085.jpg	25.299	(25.61)		58.217	(26.93)
Sn086.jpg	57.486	(21.76)		35.857	(24.92)
Sn087.jpg	37.985	(33.66)		62.147	(35.07)
Sn088.jpg	39.726	(29.92)		50.455	(32.99)
Sn089.jpg	52.395	(29.83)		43.782	(27.27)
Sn090.jpg	53.098	(28.40)		37.799	(25.36)
Sn091.jpg	28.872	(21.64)		54.866	(28.45)
Sn092.jpg	50.906	(25.70)		50.309	(26.28)
Sn093.jpg	37.906	(28.72)		51.836	(34.27)
Sn094.jpg	22.403	(19.18)		66.265	(25.07)
Sn095.jpg	54.609	(22.59)		44.535	(23.98)
Sn096.jpg	40.574	(34.18)		58.152	(34.82)
Sn097.jpg	33.451	(31.88)		57.956	(33.68)
Sn098.jpg	25.058	(23.64)		69.307	(25.37)
Sn099.jpg	59.748	(23.70)		44.871	(26.01)
Sn100.jpg	27.327	(24.00)		66.7	(27.24)
Sn101.jpg	40.95	(36.53)		66.024	(31.39)
Sn102.jpg	41.817	(39.05)		72.416	(20.92)
Sn103.jpg	49.25	(24.10)		63.656	(17.00)
Sn104.jpg	40.088	(28.71)		57.28	(32.96)
Sn105.jpg	54.203	(25.22)		42.337	(24.34)
Sn106.jpg	49.722	(23.86)		30.598	(26.99)
Sn107.jpg	51.338	(27.68)		49.472	(22.49)
Sn108.jpg	37.789	(29.87)		48.654	(38.90)
Sn109.jpg	34.974	(36.15)		59.847	(27.71)
Sn110.jpg	37.18	(32.54)		50.87	(41.60)
Sn111.jpg	50.936	(25.64)		48.873	(27.26)
Sn112.jpg	18.581	(15.90)		66.4	(22.92)
Sn113.jpg	45.101	(22.82)		44.814	(25.02)
Sn114.jpg	40.716	(32.65)		62.464	(30.41)
Sn115.jpg	50.785	(24.82)		36.682	(25.01)
Sn116.jpg	38.488	(26.57)		54.089	(34.95)
Sn117.jpg	41.966	(29.80)		49.034	(31.83)
Sn118.jpg	37.083	(33.26)		59.622	(35.82)
Sn119.jpg	53.696	(28.33)		36.189	(25.43)
Sn120.jpg	51.591	(24.80)		30.581	(22.50)
Sn121.jpg	53.451	(25.14)		38.065	(18.94)
Sn122.jpg	41.341	(23.79)		57.473	(28.79)
Sn123.jpg	57.505	(22.51)		44.553	(22.33)
Sn124.jpg	17.827	(17.18)		64.563	(25.49)
Sn125.jpg	17.954	(17.47)		68.729	(19.49)
Sn126.jpg	46.09	(26.87)		50.222	(27.04)
Sn127.jpg	36.231	(38.63)		65.062	(32.41)
Sn128.jpg	42.731	(30.05)		49.796	(28.59)
Sn129.jpg	29.542	(26.64)		57.93	(26.14)
Sn130.jpg	35.98	(42.54)		64.906	(27.00)
Sn131.jpg	17.248	(15.54)		70.413	(24.48)
Sn132.jpg	53.539	(25.20)		57.84	(26.09)
Sn133.jpg	42.237	(31.17)		57.483	(28.49)
