	Valence	Arousal
Sp001.jpg	31.857	56.361
Sp002.jpg	23.374	66.869
Sp003.jpg	32.136	64.065
Sp004.jpg	37.378	67.745
Sp005.jpg	40.764	42.382
Sp006.jpg	49.791	49.361
Sp007.jpg	51.583	42.101
Sp008.jpg	26.912	57.888
Sp009.jpg	11.844	70.974
Sp010.jpg	38.228	51.307
Sp011.jpg	31.180	64.414
Sp012.jpg	32.508	72.958
Sp013.jpg	35.673	51.380
Sp014.jpg	51.970	51.997
Sp015.jpg	24.740	68.271
Sp016.jpg	38.148	43.483
Sp017.jpg	42.377	51.391
Sp018.jpg	35.673	56.235
Sp019.jpg	30.910	67.041
Sp020.jpg	29.917	64.457
Sp021.jpg	31.146	70.186
Sp022.jpg	36.036	62.406
Sp023.jpg	51.451	41.216
Sp024.jpg	53.512	52.124
Sp025.jpg	20.997	68.298
Sp026.jpg	29.356	69.054
Sp027.jpg	40.083	55.467
Sp028.jpg	34.361	59.820
Sp029.jpg	34.873	56.065
Sp030.jpg	24.166	62.126
Sp031.jpg	43.769	44.188
Sp032.jpg	40.918	46.867
Sp033.jpg	36.373	58.314
Sp034.jpg	35.625	55.613
Sp035.jpg	37.889	56.292
Sp036.jpg	44.042	51.901
Sp037.jpg	33.913	72.576
Sp038.jpg	43.835	39.574
Sp039.jpg	46.733	55.107
Sp040.jpg	53.444	46.437
Sp041.jpg	35.575	64.064
Sp042.jpg	32.808	54.134
Sp043.jpg	54.910	43.072
Sp044.jpg	48.162	67.493
Sp045.jpg	49.097	50.027
Sp046.jpg	35.729	47.421
Sp047.jpg	38.997	43.825
Sp048.jpg	37.856	61.403
Sp049.jpg	43.608	62.724
Sp050.jpg	40.933	56.993
Sp051.jpg	12.158	74.854
Sp052.jpg	19.139	78.343
Sp053.jpg	34.501	60.087
Sp054.jpg	30.705	69.247
Sp055.jpg	26.366	58.479
Sp056.jpg	54.797	57.648
Sp057.jpg	23.552	62.964
Sp058.jpg	33.384	54.946
Sp060.jpg	36.748	56.758
Sp061.jpg	34.931	54.990
Sp062.jpg	28.596	68.999
Sp063.jpg	26.430	64.365
Sp064.jpg	36.696	57.856
Sp065.jpg	49.120	54.088
Sp066.jpg	35.582	55.502
Sp067.jpg	38.591	50.349
Sp068.jpg	49.301	42.852
Sp069.jpg	22.636	66.282
Sp070.jpg	51.944	48.615
Sp071.jpg	34.569	64.425
Sp072.jpg	19.713	65.632
Sp073.jpg	32.112	65.545
Sp074.jpg	35.794	50.196
Sp075.jpg	24.465	60.271
Sp076.jpg	51.797	45.569
Sp077.jpg	30.127	66.698
Sp078.jpg	36.595	43.045
Sp079.jpg	34.318	50.307
Sp080.jpg	31.726	69.930
Sp081.jpg	13.635	71.687
Sp082.jpg	35.320	53.667
Sp083.jpg	32.580	50.864
Sp084.jpg	33.355	67.038
Sp085.jpg	33.795	54.770
Sp086.jpg	37.716	64.612
Sp087.jpg	20.601	73.792
Sp088.jpg	53.100	52.275
Sp089.jpg	38.215	50.932
Sp090.jpg	37.122	54.526
Sp091.jpg	22.677	58.664
Sp093.jpg	42.436	46.128
Sp094.jpg	44.767	40.313
Sp095.jpg	40.349	38.746
Sp096.jpg	22.049	68.313
Sp097.jpg	13.060	69.945
Sp098.jpg	38.027	44.185
Sp099.jpg	11.789	69.812
Sp100.jpg	57.013	38.768
Sp101.jpg	17.459	69.368
Sp102.jpg	44.079	51.829
Sp103.jpg	51.746	50.343
Sp104.jpg	56.830	53.190
Sp105.jpg	46.170	41.662
Sp106.jpg	21.516	60.854
Sp107.jpg	41.355	37.385
Sp108.jpg	42.826	65.330
Sp109.jpg	55.103	46.061
Sp110.jpg	39.684	38.699
Sp111.jpg	39.205	37.435
Sp112.jpg	40.752	44.982
Sp113.jpg	24.453	65.273
Sp114.jpg	50.125	49.210
Sp115.jpg	39.052	69.371
Sp116.jpg	38.081	53.709
Sp117.jpg	31.788	56.324
Sp118.jpg	37.686	58.542
Sp119.jpg	33.877	61.809
Sp120.jpg	50.243	49.381
Sp121.jpg	53.435	43.119
Sp122.jpg	34.757	64.406
Sp123.jpg	45.158	43.880
Sp124.jpg	10.259	73.425
Sp125.jpg	14.139	68.940
Sp126.jpg	21.393	76.614
Sp127.jpg	11.653	70.602
Sp128.jpg	17.090	72.407
Sp129.jpg	27.226	55.858
Sp130.jpg	36.815	54.273
Sp131.jpg	18.533	78.285
Sp132.jpg	19.904	72.383
Sp133.jpg	32.758	64.343
Sp134.jpg	32.399	56.911
Sp135.jpg	34.361	63.989
Sp136.jpg	9.521	78.436
Sp137.jpg	36.803	53.799
Sp138.jpg	33.038	64.939
Sp139.jpg	27.444	66.495
Sp140.jpg	54.253	47.416
Sp141.jpg	33.244	71.069
Sp142.jpg	55.824	57.432
Sp143.jpg	36.412	55.752
Sp144.jpg	29.995	68.588
Sp145.jpg	26.516	65.684
Sp146.jpg	27.499	69.825
Sp147.jpg	23.422	74.484
Sp148.jpg	44.716	63.822
Sp149.jpg	36.900	59.526
Sp150.jpg	34.059	46.308
Sp151.jpg	13.101	67.150
Sp152.jpg	32.774	61.638
Sp153.jpg	11.817	74.541
Sp154.jpg	20.737	70.882
Sp155.jpg	53.348	51.338
Sp156.jpg	39.626	54.421
Sp157.jpg	32.313	64.810
Sp158.jpg	40.406	44.130
Sp159.jpg	55.637	44.821
Sp160.jpg	35.905	68.265
