	Valence	(SD)		Arousal	(SD)
Sp001.jpg	31.857	(29.12)		56.361	(38.19)
Sp002.jpg	23.374	(29.50)		66.869	(33.87)
Sp003.jpg	32.136	(32.26)		64.065	(24.69)
Sp004.jpg	37.378	(32.54)		67.745	(32.00)
Sp005.jpg	40.764	(28.32)		42.382	(24.22)
Sp006.jpg	49.791	(27.81)		49.361	(18.41)
Sp007.jpg	51.583	(26.92)		42.101	(19.13)
Sp008.jpg	26.912	(17.58)		57.888	(27.61)
Sp009.jpg	11.844	(17.21)		70.974	(28.80)
Sp010.jpg	38.228	(27.51)		51.307	(27.31)
Sp011.jpg	31.18	(29.09)		64.414	(32.93)
Sp012.jpg	32.508	(33.73)		72.958	(27.47)
Sp013.jpg	35.673	(27.99)		51.38	(29.84)
Sp014.jpg	51.97	(25.95)		51.997	(19.73)
Sp015.jpg	24.74	(26.05)		68.271	(20.96)
Sp016.jpg	38.148	(25.56)		43.483	(28.03)
Sp017.jpg	42.377	(26.71)		51.391	(33.19)
Sp018.jpg	35.673	(25.80)		56.235	(33.47)
Sp019.jpg	30.91	(30.25)		67.041	(36.10)
Sp020.jpg	29.917	(19.66)		64.457	(27.68)
Sp021.jpg	31.146	(32.08)		70.186	(23.90)
Sp022.jpg	36.036	(31.56)		62.406	(27.51)
Sp023.jpg	51.451	(24.23)		41.216	(19.53)
Sp024.jpg	53.512	(24.62)		52.124	(17.12)
Sp025.jpg	20.997	(28.98)		68.298	(28.20)
Sp026.jpg	29.356	(34.65)		69.054	(27.41)
Sp027.jpg	40.083	(21.46)		55.467	(31.13)
Sp028.jpg	34.361	(32.01)		59.82	(26.42)
Sp029.jpg	34.873	(27.65)		56.065	(36.04)
Sp030.jpg	24.166	(29.49)		62.126	(32.48)
Sp031.jpg	43.769	(25.23)		44.188	(28.36)
Sp032.jpg	40.918	(20.84)		46.867	(22.60)
Sp033.jpg	36.373	(27.39)		58.314	(36.73)
Sp034.jpg	35.625	(21.28)		55.613	(27.81)
Sp035.jpg	37.889	(30.04)		56.292	(34.87)
Sp036.jpg	44.042	(31.36)		51.901	(34.76)
Sp037.jpg	33.913	(33.00)		72.576	(19.00)
Sp038.jpg	43.835	(24.85)		39.574	(27.02)
Sp039.jpg	46.733	(27.48)		55.107	(21.22)
Sp040.jpg	53.444	(20.02)		46.437	(26.11)
Sp041.jpg	35.575	(36.76)		64.064	(26.85)
Sp042.jpg	32.808	(29.02)		54.134	(32.54)
Sp043.jpg	54.91	(26.74)		43.072	(23.73)
