Trial,File,Valence,Arousal,Internal_norms,External_norms,rand,Eo_2,Eo_3,Eo_4
0,GAPED/all_jpg/Sp088.jpg,53.1,52.275,0.9980368447,1,2,3,,
1,GAPED/all_jpg/P080.jpg,94.328,11.623,0.9947843608,0,0,2,,
2,GAPED/all_jpg/Sn052.jpg,37.561,59.057,0.9737908255,1,1,3,,
3,GAPED/all_jpg/Sp016.jpg,38.148,43.483,0.9707484557,1,1,3,,
4,GAPED/all_jpg/H037.jpg,8.019,82.656,7.609696822,8.660736084,0.9688284766,1,1,3
5,GAPED/all_jpg/Sn092.jpg,50.906,50.309,0.9585446392,1,0,3,,
6,GAPED/all_jpg/P128.jpg,91.98,15.99,0.9479116105,0,2,0,,
7,GAPED/all_jpg/P072.jpg,92.978,19.134,0.946979558,1,0,1,,
8,GAPED/all_jpg/A027.jpg,14.332,59.137,33.5076072,42.72960316,0.9455909865,1,2,3
9,GAPED/all_jpg/A117.jpg,11.872,62.752,22.27121989,47.80972799,0.9415038406,1,2,3
10,GAPED/all_jpg/Sn089.jpg,52.395,43.782,0.9387432526,1,1,3,,
11,GAPED/all_jpg/P022.jpg,90.833,24.441,0.9382110414,1,2,1,,
12,GAPED/all_jpg/P025.jpg,92.759,18.212,0.9355502144,1,1,1,,
13,GAPED/all_jpg/P045.jpg,97.787,21.098,0.9342804558,0,0,2,,
14,GAPED/all_jpg/N072.jpg,51.181,17.69,0.932276249,1,2,3,,
15,GAPED/all_jpg/P108.jpg,92.636,17.15,0.9248134621,1,0,3,,
16,GAPED/all_jpg/P021.jpg,83.162,9.67,0.9178822148,0,0,2,,
17,GAPED/all_jpg/Sn082.jpg,48.038,43.511,0.9157610693,1,1,3,,
18,GAPED/all_jpg/H055.jpg,34.008,60.451,30.90713501,34.53994751,0.9149452826,1,2,3
19,GAPED/all_jpg/P036.jpg,94.105,6.599,0.9136775622,1,1,3,,
20,GAPED/all_jpg/Sp148.jpg,44.716,63.822,0.9121789224,1,0,3,,
21,GAPED/all_jpg/P055.jpg,93.319,20.018,0.8882859885,0,0,0,,
22,GAPED/all_jpg/H093.jpg,17.284,68.604,6.457103382,14.54722087,0.8861332304,1,2,3
23,GAPED/all_jpg/Sn038.jpg,56.767,44.344,0.8856718531,1,1,3,,
24,GAPED/all_jpg/A098.jpg,17.543,58.951,44.98608907,48.29152425,0.8831355406,1,1,3
25,GAPED/all_jpg/Sp156.jpg,39.626,54.421,0.8829254528,1,0,3,,
26,GAPED/all_jpg/P103.jpg,78.867,30.226,0.8781911584,0,1,0,,
27,GAPED/all_jpg/P077.jpg,93.077,26.78,0.8764628061,0,1,0,,
28,GAPED/all_jpg/Sn056.jpg,59.761,40.45,0.8749610671,1,1,3,,
29,GAPED/all_jpg/H091.jpg,16.351,50.135,22.25710551,32.51622518,0.8731398892,1,1,3
30,GAPED/all_jpg/Sp036.jpg,44.042,51.901,0.8681220055,1,2,3,,
31,GAPED/all_jpg/P079.jpg,95.167,8.46,0.8651222885,0,0,0,,
32,GAPED/all_jpg/P086.jpg,92.691,16.166,0.864746543,0,2,2,,
33,GAPED/all_jpg/Sp052.jpg,19.139,78.343,0.8641296381,1,0,3,,
34,GAPED/all_jpg/P098.jpg,97.24,22.445,0.8586906481,1,0,1,,
35,GAPED/all_jpg/H042.jpg,53.671,51.888,65.68036761,67.29474749,0.8567319849,1,1,3
